,id,name,brewery,style,abv,ibu,rating
212,5MX880,5 Cs Double IPA,Great Burn Brewing,IPA - Imperial / Double,7.8% ABV,65 IBU,(3.703)
213,5MX880,5 C's Ipa Lumber House,Lumber House Brewery,IPA - American,6% ABV,76 IBU,(3.946)
214,5MX880,5 C's IPA (w/ Amarillo),Portsmouth Brewery (NH),IPA - American,6.5% ABV,N/A IBU,(0)
215,5MX880,Kambeer 5C IPA,Kambeer Brewery,IPA - American,6.1% ABV,40 IBU,(0)
216,5MX880,5 C's IPA (w/ Summit),Portsmouth Brewery (NH),IPA - American,6% ABV,N/A IBU,(0)
217,5MX880,5 C's IPA (w/ Simcoe),Portsmouth Brewery (NH),Imperial Pale Ale,6.5% ABV,N/A IBU,(0)
218,5MX880,Ipa 5C,Ouray Brewery,IPA - American,6.95% ABV,150 IBU,(0)
219,5MX880,5C IPA,Iron Hill Brewery & Restaurant,IPA - American,7.4% ABV,N/A IBU,(3.484)
220,5MX880,5C's IPA,Beer and Loathing,Homebrew  |  IPA - American,7% ABV,N/A IBU,(0)
221,5MX880,5/15/13 (3 C's) IPA,Hoppy Tiger Brewing Co,Homebrew  |  IPA - American,5.4% ABV,120 IBU,(0)
222,5MX880,IPA 5C,Clemência Brewing Co.,Homebrew  |  IPA - American,7.1% ABV,68 IBU,(0)
223,5MX880,5 Cs IPA,Rude Bear Brewing,Homebrew  |  IPA - American,6.3% ABV,55 IBU,(0)
224,5MX880,5 C's Grown By the Sea IPA,Royston Nano Brewery,Homebrew  |  IPA - English,6.5% ABV,40 IBU,(0)
225,5MX880,5C IPA,Blear Brewery,Homebrew  |  IPA - American,7.2% ABV,N/A IBU,(0)
226,uA3MVL,7 BBL,Birdsview Brewing Company,IPA - American,7.5% ABV,N/A IBU,(3.62)
227,uA3MVL,7 Bbl IPA,Birdsview Brewing Company,IPA - American,N/A ABV,N/A IBU,(0)
228,uA3MVL,Paradise City W/ Idaho #7,Birdsong Brewing Co,IPA - Session / India Session Ale,4.8% ABV,N/A IBU,(0)
229,uA3MVL,7:38 Fresh Hop Pale Ale,Birdsview Brewing Company,Pale Ale - American,7.3% ABV,N/A IBU,(0)
230,uA3MVL,Motley Brew,Cavalier Brewing,Witbier,5.9% ABV,N/A IBU,(3.55)
231,uA3MVL,The Wild Bird,Bidassoa Basque Brewery,Brown Ale - American,7.2% ABV,55 IBU,(3.611)
232,uA3MVL,Hanger 7,Birdboy Brewing,Kölsch,5.8% ABV,20 IBU,(3.696)
233,uA3MVL,Bs Exp. 7 Cali Steam,Bird Stop Brewing,Homebrew  |  California Common,5.6% ABV,20 IBU,(0)
234,uA3MVL,Xp 7 British Pale,Bird Stop Brewing,Homebrew  |  English Bitter,4.9% ABV,40 IBU,(0)
235,MqTIG4,72 Imperial Chocolate Cream Stout,Breckenridge Brewery,Stout - Imperial Milk / Sweet,7.2% ABV,11 IBU,(3.822)
