,beer_id,name,display_name,abv,ibu,style_id,year,glass_id,organic,brewery_id,retired,status,ingredients,hops,malt,misc,yeast
330,24UMt9,Davey Murray's Best Scotch Ale,Davey Murray's Best Scotch Ale,9.5,52,15,n/a,n/a,N,nLsoQ9,N,verified,0,,,,
331,qgR2pv,DayTime Ale,DayTime Ale,4.65,54.2,164,n/a,5,N,nLsoQ9,N,verified,0,,,,
332,bwmm73,Daytona Dark Wheat Lager (Batch No. 32218),Daytona Dark Wheat Lager (Batch No. 32218),5,17.0,103,n/a,5,N,BznahA,N,verified,0,,,,
333,MDLWPq,De Achste Hond Peach Sour,De Achste Hond Peach Sour,7,27,40,n/a,8,N,yX6twV,N,verified,0,,,,
334,HXVdFT,Death By Coconut,Death By Coconut,6.5,25,18,n/a,n/a,N,q6vJUK,N,verified,0,,,,
335,TQaDOh,Death By Coconut (Rum Barrel Aged),Death By Coconut (Rum Barrel Aged),11.5,45,158,n/a,n/a,N,q6vJUK,N,verified,0,,,,
336,ZvzhRI,Deer Antler,Deer Antler,n/a,,117,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
337,7Tfy0M,Demon Brewn,Demon Brewn,n/a,25.0,62,n/a,n/a,Y,p1tFbP,N,verified,0,,,,
338,ABAHdk,Deuce,Deuce,7,35.0,37,n/a,n/a,N,q6vJUK,N,verified,0,,,,
339,4nRKTH,DevESTATEtion,DevESTATEtion,6.7,67,41,n/a,5,N,nHLlnK,N,verified,0,,,,
340,7dkC8e,Deviant Dale’s,Deviant Dale’s,8,85,30,n/a,5,N,q6vJUK,N,verified,0,,,,
341,RDEj6L,Devil Dog Imperial IPA,Devil Dog Imperial IPA,10.8,99,31,n/a,n/a,N,yX6twV,N,verified,0,,,,
342,3XBmmp,Devils Double,Devils Double,8,82.5,31,n/a,n/a,N,p3YrOa,N,verified,0,,,,
343,kK34fk,Diggler Double IPA,Diggler Double IPA,8,85,31,n/a,n/a,N,4F7QA9,N,verified,0,,,,
344,cOSoch,Dire Wolf,Dire Wolf,6.2,79,30,n/a,n/a,N,p1tFbP,N,verified,0,,,,
345,bHDV83,Dirty Blonde Ale,Dirty Blonde Ale,4.5,20.0,36,n/a,n/a,N,4F7QA9,N,verified,0,,,,
346,XWveu5,Dock Street Walker,Dock Street Walker,n/a,42.5,44,n/a,n/a,N,p3YrOa,N,verified,0,,,,
347,NE2Dpl,Dogs of Helles,Dogs of Helles,4,9,89,n/a,n/a,N,yX6twV,N,verified,0,,,,
348,aabOus,DogZilla Black IPA,DogZilla Black IPA,6.9,68.4,30,n/a,3,N,yX6twV,N,verified,0,,,,
349,gEUoCZ,Doppel Sticky,Doppel Sticky,7.7,66,55,n/a,6,N,nLsoQ9,N,verified,0,,,,
350,CMvItN,Doppel Weizen,Doppel Weizen,8.5,12.5,48,n/a,5,N,nLsoQ9,N,verified,0,,,,
351,hn9LIa,Doppelbock,Doppelbock,n/a,22.0,90,n/a,n/a,N,q6vJUK,N,verified,0,,,,
352,0I5b84,Double DeBOCKel,Double DeBOCKel,9.4,22.0,90,n/a,n/a,N,nHLlnK,N,verified,0,,,,
353,LVSSPk,Double Latte - Beer Camp Across America,Double Latte - Beer Camp Across America (2014),7.6,60,20,2014,5,N,nHLlnK,Y,verified,0,,,,
354,WHQisc,Dragon's Milk,Dragon's Milk,11,31,43,n/a,8,N,AqEUBQ,N,verified,3,51;90;,534;247;378;429;650;1950;,,1835;
355,ZDbYzs,Dragon's Milk Reserve Coconut Rum,Dragon's Milk Reserve Coconut Rum,11,30,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
356,uhfEWi,Dragon's Milk Reserve Mexican Spice Cake,Dragon's Milk Reserve Mexican Spice Cake,11,65.0,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
357,Vuhegf,Dragon's Milk Reserve Triple-Mashed,Dragon's Milk Reserve Triple-Mashed,11,65.0,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
358,RXEBYd,Dragon's Milk Reserve Vanilla Chai,Dragon's Milk Reserve Vanilla Chai,11,30,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
359,HHG2Nn,Dragon's Milk Reserve with Coffee And Chocolate,Dragon's Milk Reserve with Coffee And Chocolate,11,65.0,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
360,ndgIxK,Dragon's Milk Reserve with S'mores,Dragon's Milk Reserve with S'mores,11,31,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
361,2wvRmF,Dragon's Milk Reserve with Toasted Chilies,Dragon's Milk Reserve with Toasted Chilies,11,65.0,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
362,BnYgKN,Dragon's Milk Reserve with Vanilla Chai,Dragon's Milk Reserve with Vanilla Chai,11,65.0,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
363,IpcSsv,Dragon's Milk Reserve: Brewer's Select,Dragon's Milk Reserve: Brewer's Select,12,65.0,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
364,ZJJ8yY,Dragon's Milk Reserve: Cherry Chocolate,Dragon's Milk Reserve: Cherry Chocolate,11,31,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
365,8lo5KQ,Dragon's Milk Reserve: Mexican Spice Cake,Dragon's Milk Reserve: Mexican Spice Cake,11,70,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
366,DwfEan,Dragon's Milk Reserve: Raspberry Lemon,Dragon's Milk Reserve: Raspberry Lemon,11,,134,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
367,fMn3Hq,Dragon's Milk Reserve: Salted Caramel,Dragon's Milk Reserve: Salted Caramel,11,65.0,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
368,Y6iD9x,Dragon’s Milk Reserve with Raspberries,Dragon’s Milk Reserve with Raspberries,11,31,134,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
369,3tlrAU,Dragon’s Milk Reserve: Banana Coconut,Dragon’s Milk Reserve: Banana Coconut,11,31,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
370,UTh8Gm,Dragon’s Milk Reserve: Mocha Mint,Dragon’s Milk Reserve: Mocha Mint,11,65.0,43,n/a,n/a,N,AqEUBQ,N,verified,0,,,,
371,4GgbWG,Draught-Style Pale Ale,Draught-Style Pale Ale,5,36,25,n/a,n/a,N,nHLlnK,N,verified,0,,,,
372,1LvpyW,Drink This IPA,Drink This IPA,6.1,60.0,30,n/a,n/a,N,DMU2Kf,N,verified,0,,,,
373,4iQV5k,Dry Hopped Coastal Pilsner (Batch No. 23185),Dry Hopped Coastal Pilsner (Batch No. 23185),6,32.5,98,n/a,4,N,BznahA,N,verified,0,,,,
374,hqQhp6,Dry Irish Stout,Dry Irish Stout,4.8,38,42,n/a,n/a,N,IImUD9,N,verified,0,,,,
375,dFaMLe,Dry-Hopped Censored Ale,Dry-Hopped Censored Ale,6.7,,125,n/a,n/a,N,nLsoQ9,N,verified,0,,,,
